Alemania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
FTSE Ireland,"411,00","411,00","411,00","0,00","0,00%",07/11
ISEQ 20 Price,"1.200,45","1.206,97","1.179,96","+3,78","+0,32%",06/11
ISEQ General,"8.456,81","8.469,22","8.339,73","0,00","0,00%",04/02
ISEQ Small Capital,"2.034,95","2.039,57","2.004,58","+26,48","+1,32%",06/11
 
Islandia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
ICEX Main,"1.685,41","1.692,53","1.616,96","+68,45","+4,23%",16:30:00
ICEX All Share Total Return,"879,15","882,86","843,44","+35,71","+4,23%",16:30:00
OMX Iceland 6 PI ISK,"2.351,45","2.353,17","2.254,15","+97,30","+4,32%",16:30:00
OMX Iceland Mid Cap PI,"78,96","79,50","75,50","+3,46","+4,58%",16:30:00
OMX Iceland Small Cap PI,"271,85","275,18","263,53","+8,32","+3,16%",16:21:00
 
Israel
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
TA 35,"1.422,64","1.452,74","1.383,54","+44,12","+3,20%",16:25:18
TA 125,"1.465,06","1.492,29","1.428,25","+42,32","+2,97%",16:25:19
TA 60 SME,"618,06","619,98","610,11","+9,48","+1,56%",16:31:44
TA 90,"1.565,31","1.585,73","1.520,00","+48,33","+3,19%",16:25:19
TA Allshare,"1.534,08","1.552,99","1.502,05","+36,77","+2,46%",16:31:44
TA Growth,"1.599,70","1.617,78","1.597,11","+9,10","+0,57%",16:31:44
TASE VIX VTA35,"20,74","27,13","18,63","+0,59","+2,93%",16:32:27
 
Italia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
FTSE Italia All Share,"22.609,75","22.715,67","21.718,92","+1194,89","+5,58%",16:17:00
FTSE IT Mid Cap,"34.246,51","34.453,53","33.458,64","+1173,19","+3,55%",16:17:00
FTSE IT Small Cap,"18.659,23","18.715,00","18.095,90","+678,26","+3,77%",16:17:00
FTSE MIB TR EUR,"41.693,03","41.693,03","41.693,03","-105,29","-0,25%",06/11
Italia 40,"2.032,4","2.047,8","1.948,0","+110,3","+5,74%",16:32:26
 
Jamaica
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
JSE Market,"368.737,94","368.737,94","368.737,94","0,00","0,00%",06/11
JSE All Jamaican Composite,"404.161,88","404.161,88","404.161,88","0,00","0,00%",06/11
 
Japón
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Nikkei 225,"24.839,84","24.962,80","24.541,28","+514,61","+2,12%",07:00:00
JASDAQ,"176,18","176,25","175,34","+1,93","+1,11%",07:00:00
JASDAQ 20,"4.818,85","4.878,96","4.803,91","+3,53","+0,07%",07:00:00
JPX-Nikkei 400,"15.168,72","15.216,41","15.057,46","+213,44","+1,43%",07:00:00
Nikkei 1000,"2.010,96","2.016,83","1.997,03","+29,38","+1,48%",06:00:00
Nikkei 300,"349,35","350,40","346,57","+5,27","+1,53%",06:00:00
Nikkei 500,"2.529,00","2.536,77","2.507,50","+46,17","+1,86%",06:00:00
Nikkei JQ Average,"3.629,19","3.630,55","3.620,67","+19,86","+0,55%",06:00:00
Nikkei Volatility,"21,40","22,07","21,01","-0,19","-0,88%",06:00:00
TOPIX,"1.681,90","1.686,51","1.670,26","+23,41","+1,41%",07:00:00
Topix 100,"1.076,49","1.079,66","1.067,56","+16,22","+1,53%",07:00:00
Topix 1000,"1.585,20","1.589,79","1.573,98","+22,44","+1,44%",07:00:00
Topix 500,"1.300,76","1.304,68","1.291,31","+18,74","+1,46%",07:00:00
TOPIX Composite,"2.126,34","2.132,12","2.111,99","+29,58","+1,41%",07:00:00
 
Jordania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Amman SE General,"1.548,49","1.548,98","1.537,59","+4,84","+0,31%",13:59:00
Amman SE AllShare,"2.873,15","2.873,15","2.873,15","+0,02","+0,00%",13:20:00
 
Kazajistán
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
KASE,"2.495,29","2.496,73","2.478,47","+4,56","+0,18%",12:31:00
 
Kenia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Kenya NSE 20,"1.769,54","1.769,54","1.769,54","0,00","0,00%",06/11
FTSE NSE Kenya 15,"167,34","169,60","165,89","-0,54","-0,32%",13:00:00
FTSE NSE Kenya 25,"183,89","185,15","180,87","-0,63","-0,34%",12:59:00
Nairobi All Share,"141,32","141,32","141,32","+0,00","+0,00%",06/11
 
Letonia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
DJ Latvia Total Market,"1.569,04","1.569,04","1.569,04","0,00","0,00%",04/02
 
Líbano
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BLOM Stock,"620,25","620,25","618,43","+1,82","+0,29%",14:27:00
BDL STOCK IX,"152,14","152,14","152,14","+0,59","+0,39%",01/01
Beirut Stock,"48,75","48,75","48,75","0,00","0,00%",14:26:00
 
Lituania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
DJ Lithuania Total Market (EUR),"970,76","970,76","970,76","+0,00","+0,00%",04/02
 
Malasia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
KLCI,"1.524,32","1.533,05","1.513,21","+4,68","+0,31%",10:05:00
Malaysia ACE,"11.375,18","11.437,31","11.095,99","+401,27","+3,66%",09:59:00
FTSE BM Mid 70,"14.489,04","14.664,07","14.422,26","-27,76","-0,19%",09:59:00
Malaysia Top 100,"10.832,73","10.910,85","10.764,48","+19,45","+0,18%",09:59:00
FTSE Malaysia,"208,99","208,99","208,99","+0,00","+0,00%",07/11
 
Malta
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
MSE,"3.528,17","3.528,17","3.528,17","+55,95","+1,61%",12:01:00
 
Marruecos
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Moroccan All Shares,"10.555,87","10.558,24","10.349,74","+194,88","+1,88%",15:30:59
FTSE CSE Morocco 15,"9.480,52","9.480,52","9.299,56","+180,96","+1,95%",15:49:00
FTSE CSE Morocco All-Liquid,"9.120,67","9.120,67","8.936,44","+175,52","+1,96%",15:49:00
MADEX,"8.587,83","8.589,82","8.415,25","+163,16","+1,94%",15:30:59
 
Mauricio
